Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 69.165, 1.685,2.5, 5417467, 1.1,
ADBE, Adobe Inc., 246.19, 7.78,3.26, 3157420, 3.3,
ALXN, Alexion Pharmaceuticals Inc., 112.45, -1.74,-1.52, 1503750, -.3,
ALGN, Align Technology Inc., 222.15, -0.86,-0.39, 1287749, -.1,
GOOG, Alphabet Inc., 1080.1, 43.89,4.24, 1871146, 13.4,
GOOGL, Alphabet Inc., 1096.69, 47.18,4.5, 2812398, 12.3,
AMZN, Amazon.com Inc., 1602.3, 71.88,4.7, 8322349, 30.5,
AAL, American Airlines Group Inc., 35.1969, 0.5369,1.55, 9008322, .2,
AMGN, Amgen Inc., 193.73, 4.65,2.46, 3257834, 2.6,
ADI, Analog Devices Inc., 83.77, 0.97,1.17, 2490911, .3,
AAPL, Apple Inc., 219.47, 6.17,2.89, 29186609, 25.9,
AMAT, Applied Materials Inc., 33.06, 0.64,1.97, 9750749, .6,
ASML, ASML Holding N.V., 172.35, 3.61,2.14, 600425, .2,
ADSK, Autodesk Inc., 129.8, 3.84,3.05, 1610429, .7,
ADP, Automatic Data Processing Inc., 144.21, 6.95,5.06, 2452777, 2.7,
BIDU, Baidu Inc., 190.26, 6.89,3.76, 5487039, 1.7,
BIIB, Biogen Inc., 304.4, -1.88,-0.61, 867363, -.3,
BMRN, BioMarin Pharmaceutical Inc., 92.415, 0.305,0.33, 705252, .1,
BKNG, Booking Holdings Inc., 1880.04, 44.04,2.4, 330258, 1.8,
AVGO, Broadcom Inc., 224.01, 3,1.36, 1758626, 1.1,
CA, CA Inc., 44.35, 0.08,0.18, 4254114, .0,
CDNS, Cadence Design Systems Inc., 44.545, 0.165,0.37, 1703742, .0,
CELG, Celgene Corporation, 71.69, -0.65,-0.9, 4994596, -.4,
CERN, Cerner Corporation, 57.48, 0.03,0.05, 2542868, .0,
CHTR, Charter Communications Inc., 321.77, 5.55,1.76, 1155364, 1.1,
CHKP, Check Point Software Technologies Ltd., 110.56, 3.3,3.08, 1080434, .5,
CTAS, Cintas Corporation, 182.53, 4.64,2.61, 647602, .4,
CSCO, Cisco Systems Inc., 45.83, 1.25,2.8, 18052985, 5.1,
CTXS, Citrix Systems Inc., 102.35, 0.8,0.79, 1181456, .1,
CTSH, Cognizant Technology Solutions Corporation, 69.07, 2.55,3.83, 4284377, 1.3,
CMCSA, Comcast Corporation, 38.31, 0.6,1.59, 20278989, 2.4,
COST, Costco Wholesale Corporation, 228.8643, 0.9443,0.41, 1816574, .4,
CSX, CSX Corporation, 69.19, 0.38,0.55, 5208910, .3,
CTRP, Ctrip.com International Ltd., 33.35, 2.17,6.96, 4173258, .9,
XRAY, DENTSPLY SIRONA Inc., 34.73, -0.26,-0.74, 1358352, -.1,
DLTR, Dollar Tree Inc., 84.42, 0.08,0.09, 1623175, .0,
EBAY, eBay Inc., 29.04, 1.62,5.91, 22510313, 1.4,
EA, Electronic Arts Inc., 91.195, -3.635,-3.83, 15447978, -1.0,
EXPE, Expedia Group Inc., 125.47, 0.98,0.79, 1284105, .1,
ESRX, Express Scripts Holding Company, 96.23, 0.81,0.85, 2137043, .4,
FB, Facebook Inc., 152.64, 6.42,4.39, 53674419, 13.5,
FAST, Fastenal Company, 51.59, 0.27,0.53, 1944960, .1,
FISV, Fiserv Inc., 79.12, 1.18,1.51, 2188267, .4,
GILD, Gilead Sciences Inc., 68.35, -3.69,-5.12, 12999740, -4.2,
HAS, Hasbro Inc., 91.97, 0.76,0.83, 1910717, .1,
HSIC, Henry Schein Inc., 83.15, -0.19,-0.23, 1094519, .0,
HOLX, Hologic Inc., 39.18, 0.53,1.37, 1264954, .1,
IDXX, IDEXX Laboratories Inc., 212.8, 2.58,1.23, 533937, .2,
ILMN, Illumina Inc., 311.32, 7.57,2.49, 895724, 1.0,
INCY, Incyte Corporation, 65.125, 4.095,6.71, 1760549, .8,
INTC, Intel Corporation, 47.035, -0.725,-1.52, 23393602, -2.9,
INTU, Intuit Inc., 211.044, 8.244,4.07, 1096956, 1.9,
ISRG, Intuitive Surgical Inc., 522.35, 31.53,6.42, 1364171, 3.1,
JBHT, J.B. Hunt Transport Services Inc., 111.05, 1.29,1.18, 522226, .1,
JD, JD.com Inc., 23.3668, 0.9868,4.41, 15162363, .8,
KLAC, KLA-Tencor Corporation, 91.8, 0.2,0.22, 1172367, .0,
LRCX, Lam Research Corporation, 142.2733, 3.0033,2.16, 2255286, .4,
LBTYA, Liberty Global plc, 25.83, 1.34,5.47, 1768151, .2,
LBTYK, Liberty Global plc, 25.24, 1.38,5.78, 2052140, .7,
MAR, Marriott International, 117.36, 2.09,1.81, 1748722, .6,
MXIM, Maxim Integrated Products Inc., 49.98, 0.2,0.4, 4751732, .1,
MELI, MercadoLibre Inc., 324.77, 14.36,4.63, 800153, .6,
MCHP, Microchip Technology Incorporated, 65.89, 1.04,1.6, 3896918, .2,
MU, Micron Technology Inc., 37.845, 1.835,5.1, 34797794, 1.9,
MSFT, Microsoft Corporation, 107.095, 3.365,3.24, 37287639, 22.5,
MDLZ, Mondelez International Inc., 41.94, -0.18,-0.43, 10218725, -.2,
MNST, Monster Beverage Corporation, 53, 0.03,0.06, 2160472, .0,
MYL, Mylan N.V., 31.43, 0.12,0.38, 3344753, .1,
NTES, NetEase Inc., 207.59, 7.49,3.74, 493482, .5,
NFLX, Netflix Inc., 301.87, 16.06,5.62, 18453528, 6.1,
NVDA, NVIDIA Corporation, 211.11, 8.11,4, 16451948, 4.3,
ORLY, O'Reilly Automotive Inc., 321.58, -8.89,-2.69, 735007, -.6,
PCAR, PACCAR Inc., 57.34, 0.86,1.52, 1932573, .3,
PAYX, Paychex Inc., 65.54, 1.47,2.29, 2223866, .5,
PYPL, PayPal Holdings Inc., 84.335, 3.435,4.25, 8094693, 3.5,
PEP, Pepsico Inc., 112.69, -1.08,-0.95, 3207648, -1.3,
QCOM, QUALCOMM Incorporated, 63.125, -0.055,-0.09, 9828354, -.1,
QRTEA, Qurate Retail Inc., 21.91, -0.16,-0.72, 2233431, -.1,
REGN, Regeneron Pharmaceuticals Inc., 339.9, 0.2,0.06, 695862, .0,
ROST, Ross Stores Inc., 99.19, -0.59,-0.59, 2092273, -.2,
STX, Seagate Technology PLC, 40.405, 1.555,4, 3971923, .4,
SHPG, Shire plc, 180.695, 3.535,2, 1277598, .2,
SIRI, Sirius XM Holdings Inc., 6.03, 0.17,2.9, 29885959, .7,
SWKS, Skyworks Solutions Inc., 87.07, 2.41,2.85, 1677146, .4,
SBUX, Starbucks Corporation, 58.46, -0.13,-0.22, 8525711, -.2,
SYMC, Symantec Corporation, 18.14, 0.46,2.6, 15530009, .3,
SNPS, Synopsys Inc., 89.58, 1.77,2.02, 543755, .2,
TMUS, T-Mobile US Inc., 68.66, 4.74,7.42, 7636980, 3.5,
TTWO, Take-Two Interactive Software Inc., 129.12, 5.11,4.12, 2709972, .5,
TSLA, Tesla Inc., 338.57, 8.67,2.63, 6921143, 1.3,
TXN, Texas Instruments Incorporated, 93.31, 0.32,0.34, 6840528, .3,
KHC, The Kraft Heinz Company, 54.97, -0.88,-1.58, 6131501, -.9,
FOX, Twenty-First Century Fox Inc., 45.22, -0.07,-0.15, 2782085, -.1,
FOXA, Twenty-First Century Fox Inc., 45.59, -0.09,-0.2, 4944571, -.1,
ULTA, Ulta Beauty Inc., 275.6, 8.61,3.22, 637237, .5,
VRSK, Verisk Analytics Inc., 119.51, 2.6,2.22, 1402561, .4,
VRTX, Vertex Pharmaceuticals Incorporated, 170.265, -1.225,-0.71, 898779, -.3,
VOD, Vodafone Group Plc, 18.975, 0.115,0.61, 6212501, .1,
WBA, Walgreens Boots Alliance Inc., 79.565, 0.765,0.97, 8412072, .7,
WDC, Western Digital Corporation, 43.235, 1.865,4.51, 6229870, .5,
WDAY, Workday Inc., 133.245, 5.225,4.08, 1440832, .7,
WYNN, Wynn Resorts Limited, 101.14, 3.54,3.63, 2689774, .3,
XLNX, Xilinx Inc., 85.4923, 3.4423,4.2, 4798237, .8,
