Symbol, Name
AAV,Advantage Oil & Gas Ltd.
ARE,Aecon Group Inc.
AEM,Agnico Eagle Mines Limited
AC,Air Canada
ASR,Alacer Gold Corp.
AGI,Alamos Gold Inc.
AD,Alaris Royalty Corp.
AQN,Algonquin Power & Utilities Corp.
ATD-B,Alimentation Couche-Tard Inc.
AP-UN,Allied Properties Real Estate Investment Trust
ALA,AltaGas Ltd.
AIF,Altus Group Limited
APH,Aphria Inc.
ARX,ARC Resources Ltd.
AX-UN,Artis Real Estate Investment Trust
ACO-X,ATCO Ltd.
ATA,ATS Automation Tooling Systems Inc.
ACB,Aurora Cannabis Inc.
BTO,B2Gold Corp.
BAD,Badger Daylighting Ltd.
BMO,Bank of Montreal
BNS,Bank of Nova Scotia
ABX,Barrick Gold Corporation
BHC,Bausch Health Companies Ltd.
BTE,Baytex Energy Corp.
BCE,BCE Inc.
BIR,Birchcliff Energy Ltd.
BB,BlackBerry Limited
BEI-UN,Boardwalk Real Estate Investment Trust
BBD-B,Bombardier Inc.
BLX,Boralex Inc.
BYD-UN,Boyd Group Income Fund
BAM-A,Brookfield Asset Management Inc.
BBU-UN,Brookfield Business Partners L.P.
BIP-UN,Brookfield Infrastructure Partners L.P.
BPY-UN,Brookfield Property Partners L.P.
BEP-UN,Brookfield Renewable Partners L.P.
DOO,BRP Inc.
CAE,CAE Inc.
CCO,Cameco Corporation
GOOS,Canada Goose Holdings Inc.
CAR-UN,Canadian Apartment Properties Real Estate Investment Trust
CM,Canadian Imperial Bank of Commerce
CNR,Canadian National Railway Company
CNQ,Canadian Natural Resources Limited
CP,Canadian Pacific Railway Limited
CTC-A,Canadian Tire Corporation Limited
CU,Canadian Utilities Limited
CWB,Canadian Western Bank
CFP,Canfor Corporation
WEED,Canopy Growth Corporation
CPX,Capital Power Corporation
CAS,Cascades Inc.
CCL-B,CCL Industries Inc.
CLS,Celestica Inc.
CVE,Cenovus Energy Inc.
CG,Centerra Gold Inc.
CEU,CES Energy Solutions Corp.
GIB-A,CGI Group Inc.
CSH-UN,Chartwell Retirement Residences
CHE-UN,Chemtrade Logistics Income Fund
CHP-UN,Choice Properties Real Estate Investment Trust
CHR,Chorus Aviation Inc.
CIX,CI Financial Corp.
CGX,Cineplex Inc.
CCA,Cogeco Communications Inc.
CIGI,Colliers International Group Inc.
CUF-UN,Cominar Real Estate Investment Trust
CMG,Computer Modelling Group Ltd.
CSU,Constellation Software Inc.
BCB,Cott Corporation
CPG,Crescent Point Energy Corp.
CRR-UN,Crombie Real Estate Investment Trust
DSG,Descartes Systems Group Inc.
DGC,Detour Gold Corporation
DOL,Dollarama Inc.
DII-B,Dorel Industries Inc.
DRG-UN,Dream Global Real Estate Investment Trust
D-UN,Dream Office Real Estate Investment Trust
ECN,ECN Capital Corp.
ELD,Eldorado Gold Corporation
EFN,Element Fleet Management Corp.
EMA,Emera Incorporated
EMP-A,Empire Company Limited
ENB,Enbridge Inc.
ENF,Enbridge Income Fund Holdings Inc.
ECA,Encana Corporation
EDV,Endeavour Mining Corporation
ECI,EnerCare Inc.
EFX,Enerflex Ltd.
ERF,Enerplus Corporation
ENGH,Enghouse Systems Limited
ESI,Ensign Energy Services Inc.
EIF,Exchange Income Corporation
EXE,Extendicare Real Estate Investment Trust
FFH,Fairfax Financial Holdings Limited
FTT,Finning International Inc.
FCR,First Capital Realty Inc.
FR,First Majestic Silver Corp.
FM,First Quantum Minerals Ltd.
FSV,FirstService Corporation
FTS,Fortis Inc.
FVI,Fortuna Silver Mines Inc.
FNV,Franco-Nevada Corporation
FRU,Freehold Royalties Ltd.
MIC,Genworth MI Canada Inc.
WN,George Weston Limited
GEI,Gibson Energy Inc.
GIL,Gildan Activewear Inc.
G,Goldcorp Inc.
GTE,Gran Tierra Energy Inc.
GRT-UN,Granite Real Estate Investment Trust
GC,Great Canadian Gaming Corporation
GWO,Great-West Lifeco Inc.
GUY,Guyana Goldfields Inc.
HR-UN,H&R Real Estate Investment Trust
HCG,Home Capital Group Inc.
HBM,HudBay Minerals Inc.
HBC,Hudson's Bay Company
HSE,Husky Energy Inc.
H,Hydro One Limited
IMG,Iamgold Corporation
IGM,IGM Financial Inc.
IMO,Imperial Oil Limited
IAG,Industrial Alliance Insurance and Financial Services Inc.
INE,Innergex Renewable Energy Inc.
IFC,Intact Financial Corporation
IPL,Inter Pipeline Ltd.
IFP,Interfor Corporation
ITP,Intertape Polymer Group Inc.
IIP-UN,InterRent Real Estate Investement Trust
IVN,Ivanhoe Mines Ltd.
KEL,Kelt Exploration Ltd.
KEY,Keyera Corp.
KMP-UN,Killiam Apartment Real Estate Investment Trust
KXS,Kinaxis Inc.
KML,Kinder Morgan Canada
K,Kinross Gold Corporation
KL,Kirkland Lake Gold Ltd.
GUD,Knight Therapeutics Inc.
LIF,Labrador Iron Ore Royalty Corporation
LB,Laurentian Bank of Canada
LNR,Linamar Corporation
L,Loblaw Companies Limited
LUC,Lucara Diamond Corp.
LUN,Lundin Mining Corporation
MAG,MAG Silver Corp.
MG,Magna International Inc.
MFC,Manulife Financial Corporation
MFI,Maple Leaf Foods Inc.
MRE,Martinrea International Inc.
MAXR,Maxar Technologies Ltd.
MEG,MEG Energy Corp.
MX,Methanex Corporation
MRU,Metro Inc.
MNW,Mitel Networks Corporation
MSI,Morneau Shepell Inc.
MTY,MTY Food Group Inc.
MTL,Mullen Group Ltd.
NA,National Bank of Canada
NSU,Nevsun Resources Ltd.
NFI,New Flyer Industries Inc.
NGD,New Gold Inc.
NXE,NexGen Energy Ltd.
OSB,Norbord Inc.
NPI,Northland Power Inc.
NVU-UN,Northview Apartment Real Estate Investment Trust
NG,NovaGold Resources Inc.
NTR,Nutrien Ltd.
NVA,NuVista Energy Ltd.
OGC,OceanaGold Corporation
ONEX,Onex Corporation
OTEX,Open Text Corporation
OR,Osisko Gold Royalties Ltd
PAAS,Pan American Silver Corp.
POU,Paramount Resources Ltd.
PXT,Parex Resources Inc.
PKI,Parkland Fuel Corporation
PSI,Pason Systems Inc.
PPL,Pembina Pipeline Corporation
PEY,Peyto Exploration & Development Corp.
POW,Power Corporation of Canada
PWF,Power Financial Corporation
PSK,PrairieSky Royalty Ltd.
PD,Precision Drilling Corporation
PBH,Premium Brands Holdings Corporation
PVG,Pretium Resources Inc.
QBR-B,Quebecor Inc.
QSR,Restaurant Brands International Inc.
RCH,Richelieu Hardware Ltd.
REI-UN,RioCan Real Estate Investment Trust
RBA,Ritchie Bros. Auctioneers Incorporated
RCI-B,Rogers Communications Inc.
RY,Royal Bank of Canada
RUS,Russel Metals Inc.
SSL,Sandstorm Gold Ltd.
SAP,Saputo Inc.
SES,Secure Energy Services Inc.
SMF,Semafo Inc.
VII,Seven Generations Energy Ltd.
SJR-B,Shaw Communications Inc.
SCL,ShawCor Ltd.
SHOP,Shopify Inc.
SIA,Sienna Senior Living Inc.
SW,Sierra Wireless Inc.
ZZZ,Sleep Country Canada Holdings Inc.
SRU-UN,SmartCentres Real Estate Investment Trust
SNC,SNC-Lavalin Group Inc.
TOY,Spin Master Corp.
SSRM,SSR Mining
STN,Stantec Inc.
SJ,Stella-Jones Inc.
SLF,Sun Life Financial Inc.
SU,Suncor Energy Inc.
SPB,Superior Plus Corp.
THO,Tahoe Resources Inc.
TVE,Tamarack Valley Energy Ltd.
TECK-B,Teck Resources Limited
T,Telus Corporation
TFII,TFI International Inc.
NWC,The North West Company Inc.
TSGI,The Stars Group Inc.
TRI,Thomson Reuters Corporation
X,TMX Group Limited
TOG,TORC Oil & Gas Ltd.
TXG,Torex Gold Resources Inc.
TIH,Toromont Industries Ltd.
TD,Toronto-Dominion Bank
TOU,Tourmaline Oil Corp.
TA,TransAlta Corporation
RNW,TransAlta Renewables Inc.
TRP,TransCanada Corporation
TCL-A,Transcontinental Inc.
TCW,Trican Well Service Ltd.
TCN,Tricon Capital Group Inc.
TRQ,Turquoise Hill Resources Ltd.
UNS,Uni-Select Inc.
VET,Vermilion Energy Inc.
WCN,Waste Connections Inc.
WFT,West Fraser Timber Co. Ltd.
WEF,Western Forest Products Inc.
WJA,WestJet Airlines Ltd.
WTE,Westshore Terminals Investment Corporation
WPM,Wheaton Precious Metals Corp.
WCP,Whitecap Resources Inc.
WPK,Winpak Ltd.
WSP,WSP Global Inc.
YRI,Yamana Gold Inc.
CLF,ISHARES 1-5 YR LADDERED GOV'T BOND
CBO,ISHARES 1-5YR LADDERED CORP BOND
XQB,ISHARES CORE HIGH QUALITY CDN BOND INDEX
HAF,HORIZONS ACTIVE YIELD MATCHED DURATON ETF
CHB,ISHARES ADVANTAGED U.S. HIGH YIELD BOND (C$ HEDGED)
CRQ,ISHARES CANADIAN FUNDAMENTAL INDEX
HXT,HORIZONS S&P/TSX 60 IDX
XMD,ISHARES S&P/TSX COMPLETION
COW,ISHARES GLOBAL AGRICULTURE INDEX
SVR,ISHARES SILVER BULLION
CGL,ISHARES GOLD BULLION (C$ HEDGED)
CGL-C,ISHARES GOLD BULLION
HUZ,HORIZONS COMEX SILVER
XST,ISHARES S&P/TSX CAPPED CONSUMER STAPLE
DLR,HORIZONS US DOLLAR CURRENCY
HUC,HORIZONS NYMEX CRUDE OIL
XEN,ISHARES JANTZI SOCIAL INDEX
CEW,ISHARES EQUAL WEIGHT BANC & LIFECO
XHC,ISHARES S&P/TSX GLOBAL HEALTHCARE
CSD,ISHARES SHORT DURATION HIGH INCOME
CBD,ISHARES BALANCED INCOME
CPD,ISHARES S&P/TSX CDN PREFERRED SHARE INDEX
CDZ,ISHARES S&P/TSX CANADIAN DIVIDEND ARISTOCRATS INDEX
FIE,ISHARES CANADIAN FINANCIAL MONTHLY INCOME
CYH,ISHARES GLOBAL MONTHLY ADVANTAGED DIVIDEND INDEX
CUD,ISHARES S&P US DIVIDEND GROWERS INDEX (C$ HEDGED)
CIF,ISHARES GLOBAL INFRASTRUCTURE INDEX
XEU,ISHARES MSCI EUROPE IMI INDEX
XCH,ISHARES CHINA INDEX
XEC,ISHARES CORE MSCI EMERGING MARKETS IMI INDEX
CBN,ISHARES BALANCED GROWTH
CIE,ISHARES INTERNATIONAL FUNDAMENTAL INDEX
